,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754489211,0,0,0,0,0,1.747946163,0.758495146,6.332453826,2.625705658,0,3.872216844,2.799813346,0.915415599,0,1.33306672,0,0.324664784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.986922893,3.697541135,1.592103168,0,0,0,0.674081564,0,1.608428164,0.299796139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37517821,0,0,0,0.479547307,0,0,3.408316292,3.474635163,0,0.465332713,0,0,0.472009818,0,0,0,0,0,0.917178758,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.689331869,3.576537911,1.829156759,0,0,0,1.07561579,0,1.08754758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michigan,0,0,0.145996058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763358779,0.467420772,1.081034334,1.096130659,5.305039788,5.076340349,0.781657113,0.52246604,0,0.968054211,2.213123824,1.712231037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0.137680361,0,0,0,0,0,0.31736964,0,0,0,0,0,0.564365935,2.613695766,5.250262513,4.612242209,1.654670307,1.254154386,1.033431509,0.355732631,1.764991396,1.432801605,0.489931899,0,0,2.553626149,0,0,0,3.092145949,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814067079,0,0.437732545,0,0.557880056,0.835212562,2.03073174,3.994248282,2.788622421,5.482790131,0.659500099,0,0,1.087192868,0.829393713,1.011020119,0.614930513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missouri,0,0,0,1.237317496,0,0,0,0,0,0,0,0,0,0,0,0,0.315099571,0,0,0,0,0,0,0,2.447081855,2.215084727,4.772130756,3.54568018,0.889838049,1.878757515,0.54200542,0.892379083,0,0.35244775,0.553250346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,0,0,0,0,0,0,0,0,1.004924128,0,0,0,0,0,0,0,0,0,0,0,0,0,1.593371574,0,0.56119872,2.52652855,4.170141785,1.913509376,2.228495023,0,0,0,0,0,0.822368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.055767762,0
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0.406628037,0,0.964320154,0,0,1.159151501,0,0,0,0,0,0,0.666666667,0.399984001,7.361059993,4.517639328,1.701451906,2.847988608,0.367444424,0.55869043,1.900057002,0,1.646677827,0,15.44004117,2.428953121,1.533977604,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382394555,0,1.715339423,2.510670349,1.398308047,2.353827323,1.097453907,0.798658254,0,0,0,0,0,0,0,1.295840352,2.250225023,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.484162896,1.567152484,3.040437823,3.918495298,1.367801942,0,0,1.307873398,0,0,1.648170531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,0,0,0,0,0,0,0,0,0,0,0.667868831,0,0,0,0,0.106571179,0,0,0,0,0.071156145,0.152095881,0.541203637,0.838961366,2.897266344,4.170390229,3.451131971,6.191655553,1.17352527,0.804850566,0.746684044,0.593527582,0.89697929,1.626705708,0.928953627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.810572687,0,0,3.562945368,0,0,0,0,0,0.877116042,0,0,10.03009027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035411058,0,1.106255877,0.826104915,1.985801519,2.508990549,2.823263693,1.466347329,0,0,0,1.135976372,0.559268477,0,0,1.064169416,0,0,0,1.369300288,0,0,0,0,1.36369835,0,0,0,0
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
